stat,raw_value,agg_value
INST_COUNT_TOT,71456,71456
UOP_COUNT_TOT,71456,71456
CYC_COUNT_TOT,14382928,14382928
EXE_TIME,6,6
NUM_REPEAT,0,0
CYC_COUNT_X86,0,0
CYC_COUNT_ACC,14382927,14382927
AVG_BLOCK_EXE_CYCLE,2094171495,2094171495
AVG_BLOCK_EXE_CYCLE_BASE,256,256
PROGRESS_ERROR,0,0
FILE_OPEN_ERROR,0,0
NUM_THREAD,0,0
APPL_CYC_COUNT_BASE0,1,1
APPL_CYC_COUNT_BASE1,0,0
APPL_CYC_COUNT_BASE2,0,0
APPL_CYC_COUNT_BASE3,0,0
APPL_CYC_COUNT_BASE4,0,0
APPL_CYC_COUNT1,0,NaN
APPL_CYC_COUNT2,0,NaN
APPL_CYC_COUNT3,0,NaN
APPL_CYC_COUNT4,0,NaN
CPI_DELTA_BASE0,0,0
CPI_DELTA_BASE1,0,0
CPI_DELTA_BASE2,0,0
CPI_DELTA_BASE3,0,0
CPI_DELTA_BASE4,0,0
CPI_DELTA0,0,NaN
CPI_DELTA1,0,NaN
CPI_DELTA2,0,NaN
CPI_DELTA3,0,NaN
CPI_DELTA4,0,NaN
CYCLE_CPU,0,0
CYCLE_GPU,0,0
INST_COUNT_CORE_0,4466,4466
UOP_COUNT_CORE_0,4466,4466
CYC_COUNT_CORE_0,13050,13050
INST_COUNT_CORE_1,4466,4466
UOP_COUNT_CORE_1,4466,4466
CYC_COUNT_CORE_1,15111,15111
INST_COUNT_CORE_2,4466,4466
UOP_COUNT_CORE_2,4466,4466
CYC_COUNT_CORE_2,16349,16349
INST_COUNT_CORE_3,4466,4466
UOP_COUNT_CORE_3,4466,4466
CYC_COUNT_CORE_3,16500,16500
INST_COUNT_CORE_4,4466,4466
UOP_COUNT_CORE_4,4466,4466
CYC_COUNT_CORE_4,16276,16276
INST_COUNT_CORE_5,4466,4466
UOP_COUNT_CORE_5,4466,4466
CYC_COUNT_CORE_5,16689,16689
INST_COUNT_CORE_6,4466,4466
UOP_COUNT_CORE_6,4466,4466
CYC_COUNT_CORE_6,17223,17223
INST_COUNT_CORE_7,4466,4466
UOP_COUNT_CORE_7,4466,4466
CYC_COUNT_CORE_7,17425,17425
INST_COUNT_CORE_8,4466,4466
UOP_COUNT_CORE_8,4466,4466
CYC_COUNT_CORE_8,17309,17309
INST_COUNT_CORE_9,4466,4466
UOP_COUNT_CORE_9,4466,4466
CYC_COUNT_CORE_9,17457,17457
INST_COUNT_CORE_10,4466,4466
UOP_COUNT_CORE_10,4466,4466
CYC_COUNT_CORE_10,17842,17842
INST_COUNT_CORE_11,4466,4466
UOP_COUNT_CORE_11,4466,4466
CYC_COUNT_CORE_11,17964,17964
INST_COUNT_CORE_12,4466,4466
UOP_COUNT_CORE_12,4466,4466
CYC_COUNT_CORE_12,17853,17853
INST_COUNT_CORE_13,4466,4466
UOP_COUNT_CORE_13,4466,4466
CYC_COUNT_CORE_13,17954,17954
INST_COUNT_CORE_14,4466,4466
UOP_COUNT_CORE_14,4466,4466
CYC_COUNT_CORE_14,18277,18277
INST_COUNT_CORE_15,4466,4466
UOP_COUNT_CORE_15,4466,4466
CYC_COUNT_CORE_15,18068,18068
INST_COUNT_CORE_16,0,0
UOP_COUNT_CORE_16,0,0
CYC_COUNT_CORE_16,0,0
INST_COUNT_CORE_17,0,0
UOP_COUNT_CORE_17,0,0
CYC_COUNT_CORE_17,0,0
INST_COUNT_CORE_18,0,0
UOP_COUNT_CORE_18,0,0
CYC_COUNT_CORE_18,0,0
INST_COUNT_CORE_19,0,0
UOP_COUNT_CORE_19,0,0
CYC_COUNT_CORE_19,0,0
